SHA-256,来源/案例,文件大小（字节）,文件类型,语言候选,可恢复程度,熵,特征提取状态,AI工具链证据数,LLM参与结论,模型厂商,模型家族,具体模型,归因方法,代码文体特征状态,Prompt候选数,Prompt结构标记数,Prompt结构状态,Prompt精确哈希数,Prompt模糊哈希数,Prompt模糊哈希状态,特殊Token数,PyInstaller恢复状态,分析错误数,物理输入路径数,分析批次,结果位置,人工确认,备注
943d3537730e41e0a6fe8048885a07ea2017847558a916f88c2c9afe32851fe6,MalTerminal,769,"Python script, ASCII text executable, with CRLF line terminators",python,original_source,4.6233,已完成,0,unknown,—,unknown,—,unknown,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_malterminal_20260807/static_artifacts/943d3537730e41e0a6fe8048885a07ea2017847558a916f88c2c9afe32851fe6/result.json,目录遍历漏洞扫描器，未见ai信号,—
a30930dfb655aa39c571c163ada65ba4dec30600df3bf548cc48bedd0e841416,LAMEHUG（APT28）,271041,"PDF document, version 1.7, 2 page(s)",—,strings_only,7.8822,已完成,0,unknown,—,unknown,—,unknown,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_20260807/static_artifacts/a30930dfb655aa39c571c163ada65ba4dec30600df3bf548cc48bedd0e841416/result.json,—,—
a32a3751dfd4d7a0a66b7ecbd9bacb5087076377d486afdf05d3de3cb7555501,LAMEHUG（APT28）,33944064,"PE32+ executable (DLL) (GUI) x86-64, for MS Windows, 8 sections",—,strings_only,6.2974,已完成,4,confirmed,OpenAI,GPT,gpt-4o,direct_model_identifier,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_20260807/static_artifacts/a32a3751dfd4d7a0a66b7ecbd9bacb5087076377d486afdf05d3de3cb7555501/result.json,—,—
a67465075c91bb15b81e1f898f2b773196d3711d8e1fb321a9d6647958be436b,LAMEHUG（APT28）,19654,"Python script, ASCII text executable, with very long lines (360)",python,original_source,5.5618,已完成,3,confirmed,Alibaba/Qwen,Qwen,Qwen2.5-Coder-32B-Instruct,direct_model_identifier,not_trained,2,0,含完整 Prompt 候选,2,2,完整：2/2,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_20260807/static_artifacts/a67465075c91bb15b81e1f898f2b773196d3711d8e1fb321a9d6647958be436b/result.json,—,—
ae6ed1721d37477494f3f755c124d53a7dd3e24e98c20f3a1372f45cc8130989,LAMEHUG（APT28）,377817,"Python script, ASCII text executable, with very long lines (52668)",python,original_source,5.9957,已完成,3,confirmed,Alibaba/Qwen,Qwen,Qwen2.5-Coder-32B-Instruct,direct_model_identifier,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_20260807/static_artifacts/ae6ed1721d37477494f3f755c124d53a7dd3e24e98c20f3a1372f45cc8130989/result.json,—,—
b2bda70318af89b9e82751eb852ece626e2928b94ac6af6e6c7031b3d016ebd2,MalTerminal,2107,"Python script, ASCII text executable, with CRLF line terminators",python,original_source,4.753,已完成,0,unknown,—,unknown,—,unknown,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_malterminal_20260807/static_artifacts/b2bda70318af89b9e82751eb852ece626e2928b94ac6af6e6c7031b3d016ebd2/result.json,后门程序，未见ai信号,—
b3fcba809984eaffc5b88a1bcded28ac50e71965e61a66dd959792f7750b9e87,LAMEHUG（APT28）,16664,data,—,unknown,6.1308,已完成,1,confirmed,Alibaba/Qwen,Qwen,Qwen2.5-Coder-32B-Instruct,direct_model_identifier,not_trained,2,0,含完整 Prompt 候选,2,2,完整：2/2,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_20260807/static_artifacts/b3fcba809984eaffc5b88a1bcded28ac50e71965e61a66dd959792f7750b9e87/result.json,—,—
b420b96e0d76702f51ba0e3364da881aaf766e00538059e58fec6b7676a68e6c,PromptSpy,9250064,"Android package (APK), with AndroidManifest.xml Zip archive data, at least v2.0 to extract, compression method=deflate",—,strings_only,7.56,已完成,0,unknown,—,unknown,—,unknown,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1_apk_member_scan_v1,analysis_results/promptspy_batch/b420b96e0d76702f51ba0e3364da881aaf766e00538059e58fec6b7676a68e6c/result.json,APK文件，无法确认,—
b49aa9efd41f82b34a7811a7894f0ebf04e1d9aab0b622e0083b78f54fe8b466,LAMEHUG（APT28）,375686,"Byte-compiled Python module for CPython 3.10, timestamp-based, .py timestamp: Thu Jan  1 00:00:00 1970 UTC, .py size: 0 bytes",—,unknown,5.9926,已完成,1,confirmed,Alibaba/Qwen,Qwen,Qwen2.5-Coder-32B-Instruct,direct_model_identifier,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_20260807/static_artifacts/b49aa9efd41f82b34a7811a7894f0ebf04e1d9aab0b622e0083b78f54fe8b466/result.json,—,—
bdb33bbb4ea11884b15f67e5c974136e6294aa87459cdc276ac2eea85b1deaa3,LAMEHUG（APT28）,13208102,"PE32+ executable (console) x86-64, for MS Windows, 7 sections",—,strings_only,7.9947,已完成,3,confirmed,Alibaba/Qwen,Qwen,Qwen2.5-Coder-32B-Instruct,direct_model_identifier,not_trained,2,0,含完整 Prompt 候选,2,2,完整：2/2,0,recovered,0,2,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_20260807/static_artifacts/bdb33bbb4ea11884b15f67e5c974136e6294aa87459cdc276ac2eea85b1deaa3/result.json,—,同 SHA 的多个来源已合并
c1a80983779d8408a9c303d403999a9aef8c2f0fe63f8b5ca658862f66f3db16,MalTerminal,7857,"ASCII text, with very long lines (474)",python,original_source,4.8818,已完成,3,confirmed,OpenAI,GPT,gpt-4,direct_model_identifier,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_malterminal_20260807/static_artifacts/c1a80983779d8408a9c303d403999a9aef8c2f0fe63f8b5ca658862f66f3db16/result.json,—,—
c5ae843e1c7769803ca70a9d5b5574870f365fb139016134e5dd3cb1b1a65f5f,MalTerminal,463,"ASCII text, with CRLF line terminators",python,original_source,4.2665,已完成,0,unknown,—,unknown,—,unknown,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_malterminal_20260807/static_artifacts/c5ae843e1c7769803ca70a9d5b5574870f365fb139016134e5dd3cb1b1a65f5f/result.json,文件加密功能框架，未见ai信号,—
c86a5fcefbf039a72bd8ad5dc70bcb67e9c005f40a7bacd2f76c793f85e9a061,MalTerminal,4004,"Unicode text, UTF-8 text, with CRLF line terminators",python,original_source,4.8389,已完成,5,confirmed,OpenAI,GPT,gpt-3.5-turbo,direct_model_identifier,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_malterminal_20260807/static_artifacts/c86a5fcefbf039a72bd8ad5dc70bcb67e9c005f40a7bacd2f76c793f85e9a061/result.json,—,—
cf4d430d0760d59e2fa925792f9e2b62d335eaf4d664d02bff16dd1b522a462a,LAMEHUG（APT28）,19473,"Python script, ASCII text executable, with very long lines (360)",python,original_source,5.6078,已完成,3,confirmed,Alibaba/Qwen,Qwen,Qwen2.5-Coder-32B-Instruct,direct_model_identifier,not_trained,2,0,含完整 Prompt 候选,2,2,完整：2/2,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_20260807/static_artifacts/cf4d430d0760d59e2fa925792f9e2b62d335eaf4d664d02bff16dd1b522a462a/result.json,—,—
d076268a34eb62ba17aaf3cfb244998bd3a1a9a4c1ca98d21944d94da30f42a8,PromptSpy,15831131,"Android package (APK), with gradle app-metadata.properties Zip archive data, at least v0.0 to extract, compression method=deflate",—,strings_only,7.9696,已完成,0,unknown,—,unknown,—,unknown,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1_apk_member_scan_v1,analysis_results/promptspy_batch/d076268a34eb62ba17aaf3cfb244998bd3a1a9a4c1ca98d21944d94da30f42a8/result.json,APK文件，无法确认,—
d1b48715ace58ee3bfb7af34066491263b885bd865863032820dccfe184614ad,MalTerminal,225,"Python script, ASCII text executable",python,original_source,4.5372,已完成,0,unknown,—,unknown,—,unknown,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_malterminal_20260807/static_artifacts/d1b48715ace58ee3bfb7af34066491263b885bd865863032820dccfe184614ad/result.json,键盘记录器，未见ai信号,—
d6af1c9f5ce407e53ec73c8e7187ed804fb4f80cf8dbd6722fc69e15e135db2e,LAMEHUG（APT28）,13207859,"PE32+ executable (console) x86-64, for MS Windows, 7 sections",—,strings_only,7.9946,已完成,3,confirmed,Alibaba/Qwen,Qwen,Qwen2.5-Coder-32B-Instruct,direct_model_identifier,not_trained,2,0,含完整 Prompt 候选,2,2,完整：2/2,0,recovered,0,2,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_20260807/static_artifacts/d6af1c9f5ce407e53ec73c8e7187ed804fb4f80cf8dbd6722fc69e15e135db2e/result.json,—,同 SHA 的多个来源已合并
db7a1c352c7d1ac75e0ba31b71cf4b0e3304a22b8d0d636fa80b5d5095be1e00,PromptSpy,11033233,"Android package (APK), with gradle app-metadata.properties Zip archive data, at least v0.0 to extract, compression method=deflate",—,strings_only,7.6365,已完成,2,confirmed,Google,Gemini,gemini-2.5-flash-lite,direct_model_identifier,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_review_20260826,analysis_results/review_reextraction_20260826/db7a1c352c7d1ac75e0ba31b71cf4b0e3304a22b8d0d636fa80b5d5095be1e00/result.json,—,—
dc9f49044d16abfda299184af13aa88ab2c0fda9ca7999adcdbd44e3c037a8b1,MalTerminal,395776,"PE32+ executable (console) x86-64 (stripped to external PDB), for MS Windows, 12 sections",—,strings_only,6.2672,已完成,0,unknown,—,unknown,—,unknown,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_malterminal_20260807/static_artifacts/dc9f49044d16abfda299184af13aa88ab2c0fda9ca7999adcdbd44e3c037a8b1/result.json,PE文件片段中有OPenAI、prompt等字段标识，但无法提取具体字段,—
e24fe0dd0bf8d3943d9c4282f172746af6b0787539b371e6626bdb86605ccd70,PromptLock,10327552,"PE32+ executable (console) x86-64, for MS Windows, 15 sections",—,strings_only,6.9409,已完成,2,confirmed,OpenAI,gpt-oss,gpt-oss-20b,direct_model_identifier,not_trained,0,26,仅提示词编排结构，未恢复完整 Prompt,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_review_20260826,analysis_results/review_reextraction_20260826/e24fe0dd0bf8d3943d9c4282f172746af6b0787539b371e6626bdb86605ccd70/result.json,—,—
e88a7b9ad5d175383d466c5ad7ebd7683d60654d2fa2aca40e2c4eb9e955c927,MalTerminal,6869,"ASCII text, with CRLF line terminators",python,original_source,4.7209,已完成,4,confirmed,OpenAI,GPT,gpt-3.5-turbo,direct_model_identifier,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_malterminal_20260807/static_artifacts/e88a7b9ad5d175383d466c5ad7ebd7683d60654d2fa2aca40e2c4eb9e955c927/result.json,—,—
eb0687daed29f3651c61b0a2aa4a0cdcf2049a1ebae2e15e2dd9326471d318a1,PROMPTFLUX,4405310,"ASCII text, with very long lines (2021), with CRLF line terminators",vbscript,original_source,5.8815,已完成,4,confirmed,Google,Gemini,gemini-1.5-flash-latest,direct_model_identifier,not_trained,1,0,含完整 Prompt 候选,1,1,完整：1/1,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_20260807/static_artifacts/eb0687daed29f3651c61b0a2aa4a0cdcf2049a1ebae2e15e2dd9326471d318a1/result.json,—,—
f8f5e0440c57c7deffd75ca33e2511867039796aa803e7ef847396a379188a7d,FRUITSHELL,1393,ASCII text,—,unknown,4.785,已完成,0,unknown,—,unknown,—,unknown,not_trained,0,0,未发现,0,0,无需：未识别 Prompt 候选,0,not_detected,0,1,static_only_prompt_simhash_v1,analysis_results/feature_reextraction_20260807/static_artifacts/f8f5e0440c57c7deffd75ca33e2511867039796aa803e7ef847396a379188a7d/result.json,反向shell，有提示词，但是是对抗ai检测的,—
